apple,boy,cat,dog,elephant,frog,gate,hill,ink,jug,kite
apple,boy,cat,dog,elephant,frog,gate,hill,ink,jug,kite
APPLE,BOY,CAT,DOG,ELEPHANT,FROG,GATE,HILL,INK,JUG,KITE
APPLE,BOY,CAT,DOG,ELEPHANT,FROG,GATE,HILL,INK,JUG,KITE
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,23,,,,,,,,
,,24,,,,,,,,
,,25,,44,45,46,47,48,,
,,26,,,,,,,,
,,27,,,0.01,,,,,
,,28,,,0.02,,,,,
,,29,,,0.03,,,,,
,,30,,,0.04,,,,,
100,,31,,,0.05,,,,,
200,,32,,,0.06,,,,,
300,,33,,,0.07,,,,,
400,,34,,,0.08,,,,,
500,,,,,0.09,,0.5,0.5,0.5,
600,,,,,0.1,,1,1,1,
700,,,,,0.11,,1.5,1.5,1.5,
800,,,,,0.12,,2,2,2,
900,,,,,,,2.5,2.5,2.5,
1000,,,,,,,3,3,3,
1100,,,,,,,3.5,3.5,3.5,
1200,,,,,,,4,4,4,
1300,,,,,,,4.5,4.5,4.5,
,,,,,,,5,5,5,
,,,,,,,5.5,5.5,5.5,
